Annual Turnover,Cuisine,City,Restaurant Location,Opening Day of Restaurant,Facebook Popularity Quotient,Endorsed By,Instagram Popularity Quotient,Fire Audit,Liquor License Obtained,Situated in a Multi Complex,Dedicated Parking,Open Sitting Available,Resturant Tier,Restaurant Type,Restaurant Theme,Restaurant Zomato Rating,Restaurant City Tier,Order Wait Time,Staff Responsivness,Value for Money,Hygiene Rating,Food Rating,Overall Restaurant Rating,Live Music Rating,Ambience,Lively,Service,Comfortablility,Privacy,Years Since Opening,City_Clean,Country,City_Tier
60000000,"welsh,thai",Bangalore,Near Party Hub,2008-06-19,88.6,Not Specific,,1,1,0,0,1,2.0,Bar,Arabian,3,0,10,5,4,5,5,10.0,4.0,7.0,8,5,4,7,17.12251882272416,bangalore,India,Tier 1
45000000,"peruvian,cuban",Pune,Near Party Hub,2009-02-05,81.0,Tier A Celebrity,,1,1,1,1,0,1.0,Bar,90's,3,0,7,4,6,7,7,9.0,6.0,2.0,9,6,3,6,16.490075290896645,pune,India,Tier 1
27000000,"welsh,thai",Pune,Near Party Hub,2009-11-16,83.6,Not Specific,,1,1,1,1,1,2.0,Bar,Parsi,2,0,1,3,5,4,9,7.0,,7.0,8,3,2,8,15.71252566735113,pune,India,Tier 1
20000000,"japanese,thai",Gurgaon,Near Party Hub,2009-10-18,60.8,Tier A Celebrity,,0,1,1,0,1,2.0,Bar,Greek,2,0,3,4,4,6,8,8.0,3.0,7.0,7,3,3,4,15.791923340177961,gurgaon,India,Tier 1
30000000,"indian,irish",Bangalore,Near Party Hub,2011-06-28,,Not Specific,79.9,1,1,1,1,0,2.0,Bar,English,2,0,1,3,5,6,6,,4.0,8.0,8,5,2,8,14.099931553730322,bangalore,India,Tier 1
35000000,"tibetan,italian",-1,Near Business Hub,2009-01-12,69.54,Tier A Celebrity,64.43,1,1,1,1,0,2.0,Bar,90's,2,0,8,4,5,3,5,7.0,3.0,10.0,10,6,3,9,16.555783709787818,unknown,Unknown,Other
32500000,"turkish,nigerian",Noida,Near Party Hub,2011-06-06,85.8,Tier A Celebrity,74.8,1,1,1,1,1,2.0,Bar,Greek,2,0,7,6,5,6,9,,5.0,9.0,9,6,2,5,14.160164271047227,noida,India,Tier 1
25000000,"british,japanese",Gurgaon,Near Party Hub,2006-09-23,,Tier A Celebrity,66.66,1,1,0,1,1,2.0,Caffee,Arabian,3,1,4,4,5,5,8,9.0,5.0,8.0,9,2,0,8,18.861054072553046,gurgaon,India,Tier 1
12000000,"nigerian,cajun",Gurgaon,Near Party Hub,2011-12-03,65.0,Not Specific,64.8,1,1,1,1,1,2.0,Bar,Arabian,2,0,3,4,4,5,7,8.0,4.0,6.0,7,7,3,9,13.66735112936345,gurgaon,India,Tier 1
32500000,"tibetan,greek",Pune,Near Business Hub,2009-11-25,79.0,Tier A Celebrity,62.2,0,1,1,1,1,2.0,Bar,Arabian,3,0,6,4,4,4,5,9.0,5.0,8.0,7,4,3,6,15.68788501026694,pune,India,Tier 1
32000000,"tibetan,greek",Bangalore,Near Business Hub,2007-07-21,91.2,Not Specific,84.63,1,1,1,1,1,2.0,Bar,Arabian,3,0,5,4,5,4,5,10.0,4.0,6.0,8,6,3,7,18.036960985626283,bangalore,India,Tier 1
20000000,"tibetan,greek",-1,Near Business Hub,2010-08-15,75.67,Not Specific,74.4,1,1,0,0,1,2.0,Bar,90's,3,0,5,3,5,4,8,10.0,4.0,4.0,5,2,4,4,14.967830253251197,unknown,Unknown,Other
19000000,"algerian,algerian",Hyderabad,Near Party Hub,2011-01-18,,Not Specific,95.2,1,1,1,1,1,2.0,Bar,Greek,3,0,10,3,4,4,7,,4.0,6.0,5,3,5,1,14.54072553045859,hyderabad,India,Tier 1
18000000,"british,japanese",Bangalore,Near Party Hub,2005-07-25,70.0,Not Specific,43.42,1,1,1,1,0,2.0,Bar,Greek,1,1,6,3,3,2,8,10.0,,5.0,2,1,3,0,20.024640657084188,bangalore,India,Tier 1
33500000,"japanese,thai",Hyderabad,Near Party Hub,2012-06-23,,Not Specific,90.0,1,1,1,1,0,2.0,Bar,Arabian,3,1,7,6,5,6,7,7.0,4.0,7.0,8,5,2,5,13.111567419575634,hyderabad,India,Tier 1
43500000,"polish,jewish",Gurgaon,Near Business Hub,2010-02-25,86.8,Tier A Celebrity,82.8,0,1,1,1,1,2.0,Bar,Arabian,3,0,3,5,5,5,5,10.0,5.0,7.0,9,3,5,6,15.436002737850787,gurgaon,India,Tier 1
34500000,"turkish,nigerian",Bangalore,Near Party Hub,2007-01-31,90.88,Not Specific,82.5,0,1,1,1,1,2.0,Bar,Arabian,2,0,9,4,3,4,7,9.0,5.0,8.0,7,1,7,9,18.50513347022587,bangalore,India,Tier 1
30000000,"tibetan,greek",Bangalore,Near Party Hub,2012-01-28,76.8,Not Specific,83.0,1,1,1,1,1,2.0,Bar,Greek,3,0,1,5,5,6,7,9.0,,8.0,9,6,3,5,13.514031485284052,bangalore,India,Tier 1
14500000,"indian,irish",Noida,Near Party Hub,2013-01-15,84.0,Tier A Celebrity,68.0,1,1,1,1,1,2.0,Bar,Greek,3,0,2,5,5,3,9,7.0,3.0,7.0,8,7,3,6,12.54757015742642,noida,India,Tier 1
22000000,"indian,irish",Gurgaon,Near Party Hub,2011-06-07,64.0,Tier A Celebrity,74.0,0,1,0,1,0,2.0,Bar,90's,2,0,8,4,3,4,6,8.0,3.0,0.0,3,5,4,5,14.157426420260096,gurgaon,India,Tier 1
53000000,"tibetan,italian",Hyderabad,Near Party Hub,2008-09-29,84.0,Not Specific,,0,1,1,1,1,2.0,Bar,Arabian,3,0,6,4,4,6,8,10.0,4.0,6.0,8,4,1,5,16.843258042436688,hyderabad,India,Tier 1
34000000,"tibetan,greek",Bangalore,Near Party Hub,2011-10-19,77.2,Not Specific,86.1,1,1,1,1,0,2.0,Bar,Arabian,3,0,7,5,4,4,10,10.0,4.0,6.0,9,7,0,7,13.790554414784394,bangalore,India,Tier 1
36000000,"polish,jewish",Noida,Near Business Hub,2010-09-09,87.0,Tier A Celebrity,84.4,0,1,1,1,1,1.0,Bar,Arabian,3,1,8,5,4,2,7,8.0,3.0,5.0,6,2,6,6,14.899383983572895,noida,India,Tier 1
14500000,"cuban,british",Kolkata,Near Party Hub,2011-01-02,73.0,Not Specific,68.4,1,1,1,0,1,2.0,Bar,90's,3,1,9,5,5,6,9,9.0,4.0,5.0,8,3,2,9,14.584531143052704,kolkata,India,Tier 1
21500000,"chinese,salvadorian",Bangalore,Near Business Hub,2008-08-25,,Tier A Celebrity,,0,1,1,0,1,2.0,Bar,Arabian,3,0,7,4,5,4,8,7.0,4.0,10.0,9,5,0,9,16.93908281998631,bangalore,India,Tier 1
35000000,"indian,irish",mohali,Near Business Hub,2009-09-10,85.0,Tier A Celebrity,61.0,1,1,1,0,0,2.0,Bar,Greek,2,0,9,5,4,4,6,,,6.0,5,9,2,10,15.89596167008898,mohali,India,Tier 3
27000000,"tibetan,greek",Hyderabad,Near Business Hub,2011-08-17,91.5,Not Specific,93.8,1,1,1,1,1,1.0,Bar,Arabian,3,1,10,3,5,5,8,8.0,4.0,4.0,7,5,4,6,13.963039014373717,hyderabad,India,Tier 1
8000000,"indian,irish",Gurgaon,Near Party Hub,2012-02-09,77.0,Tier A Celebrity,85.4,1,1,0,1,1,2.0,Bar,Greek,2,0,9,4,6,4,7,10.0,4.0,7.0,8,5,0,6,13.481177275838467,gurgaon,India,Tier 1
33000000,"chinese,salvadorian",Bangalore,Near Party Hub,2010-09-27,52.33,Not Specific,67.0,1,1,1,1,1,2.0,Caffee,Arabian,3,0,3,4,5,5,5,10.0,4.0,6.0,9,6,5,8,14.850102669404517,bangalore,India,Tier 1
20000000,"chinese,salvadorian",-1,Near Party Hub,2010-02-23,88.0,Local Celebrity,,1,1,1,0,1,2.0,Bar,Greek,3,0,8,5,6,6,9,6.0,,7.0,9,5,0,6,15.441478439425051,unknown,Unknown,Other
12000000,"indian,irish",Jhansi,Near Party Hub,2008-04-29,66.6,Tier A Celebrity,68.6,1,1,1,1,1,2.0,Bar,Nature,2,0,1,4,5,4,10,6.0,,6.0,7,5,3,8,17.2621492128679,jhansi,India,Tier 2
14500000,"welsh,thai",Delhi,Near Party Hub,2011-04-17,75.0,Tier A Celebrity,60.0,1,1,1,1,1,2.0,Bar,Arabian,2,0,6,3,5,4,8,7.0,3.0,5.0,4,2,1,4,14.297056810403832,new delhi,India,Tier 1
35000000,"chinese,salvadorian",Bangalore,Near Party Hub,2010-12-06,91.4,Tier A Celebrity,73.0,0,1,1,1,1,1.0,Bar,90's,3,0,10,5,5,8,7,7.0,5.0,6.0,7,3,1,4,14.65845311430527,bangalore,India,Tier 1
12000000,"tibetan,italian",Hyderabad ,Near Party Hub,2012-06-30,59.0,Not Specific,87.7,1,1,1,1,1,2.0,Bar,Greek,3,1,5,3,3,3,6,6.0,1.0,6.0,2,4,4,0,13.092402464065708,hyderabad,India,Tier 1
38000000,"japanese,thai",Bangalore ,Near Business Hub,2008-01-02,,Not Specific,,1,1,0,1,1,2.0,Bar,Arabian,5,0,8,4,5,5,6,7.0,3.0,8.0,8,3,4,7,17.585215605749486,bangalore,India,Tier 1
11000000,"chinese,salvadorian",Chennai,Near Party Hub,2011-10-08,95.8,Not Specific,87.16,1,1,1,1,1,2.0,Bar,Nature,3,0,10,4,3,5,8,6.0,,5.0,4,5,2,4,13.820670773442847,chennai,India,Tier 1
20500000,"peruvian,cuban",noida,Near Business Hub,2010-09-19,85.6,Tier A Celebrity,82.0,1,1,1,1,1,2.0,Bar,Arabian,3,0,8,3,4,4,5,6.0,4.0,7.0,8,5,3,8,14.872005475701574,noida,India,Tier 1
9500000,"welsh,thai",delhi,Near Party Hub,2011-01-27,69.6,Not Specific,,1,1,1,1,0,2.0,Bar,Arabian,3,0,9,4,4,5,6,9.0,,6.0,8,3,7,7,14.516084873374401,new delhi,India,Tier 1
39000000,"tibetan,greek",Bangalore,Near Party Hub,2010-02-23,86.6,Tier A Celebrity,75.0,1,1,1,1,0,2.0,Bar,Arabian,3,0,4,5,5,5,8,7.0,4.0,1.0,7,5,4,8,15.441478439425051,bangalore,India,Tier 1
27000000,"japanese,thai",Bangalore,Near Party Hub,2008-03-22,81.92,Not Specific,61.46,1,1,1,1,1,2.0,Bar,90's,1,1,10,5,4,4,9,9.0,5.0,9.0,10,8,0,9,17.366187542778917,bangalore,India,Tier 1
6000000,"japanese,thai",Bhubaneswar,Near Business Hub,2007-02-08,66.5,Tier A Celebrity,49.5,0,1,1,1,1,2.0,Caffee,Arabian,4,0,10,5,5,4,6,9.0,5.0,4.0,7,0,6,7,18.483230663928815,bhubaneswar,India,Tier 2
12000000,"cuban,british",Hyderabad,Near Party Hub,2010-10-29,80.0,Not Specific,72.5,0,1,1,1,1,2.0,Bar,Greek,1,0,6,5,4,4,10,10.0,4.0,6.0,6,2,3,4,14.76249144421629,hyderabad,India,Tier 1
40000000,"tibetan,greek",Navi Mumbai,Near Party Hub,2011-03-05,85.2,Tier A Celebrity,81.5,1,1,1,1,0,2.0,Bar,Arabian,1,0,10,5,3,4,7,10.0,4.0,9.0,7,7,5,7,14.414784394250514,mumbai,India,Tier 1
35000000,"british,japanese",Mumbai,Near Party Hub,2010-08-01,89.25,Not Specific,78.0,1,1,1,0,1,2.0,Bar,Chinese,4,1,6,5,5,5,5,10.0,,6.0,6,3,0,4,15.006160164271048,mumbai,India,Tier 1
12000000,"irish,belgian",New Delhi,Near Business Hub,2011-01-09,,Tier A Celebrity,64.8,1,1,1,1,1,2.0,Caffee,Arabian,4,0,3,4,4,5,8,10.0,4.0,7.0,7,3,3,6,14.565366187542779,new delhi,India,Tier 1
25000000,"tibetan,greek",Mangalore,Near Party Hub,2011-02-08,90.8,Not Specific,90.1,1,1,1,0,1,2.0,Bar,Arabian,2,0,9,5,5,5,8,8.0,4.0,6.0,8,4,6,6,14.483230663928817,mangalore,India,Tier 2
24000000,"algerian,korean",Rewari,Near Business Hub,2008-07-10,78.0,Tier A Celebrity,70.1,1,1,0,1,1,2.0,Bar,Greek,2,0,4,4,5,4,8,10.0,,8.0,6,3,2,5,17.065023956194388,rewari,India,Tier 3
52500000,"swedish,greek",Hyderabad,Near Business Hub,2008-08-10,89.88,Not Specific,95.4,1,1,1,0,1,2.0,Bar,Greek,4,1,1,5,4,6,7,10.0,,7.0,6,3,3,6,16.980150581793293,hyderabad,India,Tier 1
20000000,"algerian,belgian",Gaziabaad,Near Party Hub,2009-03-22,63.3,Not Specific,61.1,1,1,1,1,1,2.0,Bar,Greek,2,0,2,4,5,6,6,6.0,,4.0,5,4,3,4,16.366872005475702,ghaziabad,India,Tier 2
12000000,"tibetan,greek",Bangalore,Near Party Hub,1996-10-25,72.0,Tier A Celebrity,49.0,1,1,1,1,0,2.0,Bar,Arabian,1,0,4,6,4,2,5,8.0,4.0,6.0,6,3,3,6,28.772073921971252,bangalore,India,Tier 1
30500000,"tibetan,greek",Chennai,Near Business Hub,2010-12-22,83.0,Not Specific,79.0,1,1,0,0,1,2.0,Bar,90's,3,1,5,4,4,3,10,6.0,3.0,6.0,6,5,7,6,14.614647501711156,chennai,India,Tier 1
30000000,"british,japanese",Chennai,Near Party Hub,2012-06-25,85.3,Not Specific,88.3,1,1,1,1,0,2.0,Bar,Arabian,4,1,6,3,3,3,8,7.0,3.0,10.0,10,5,4,8,13.10609171800137,chennai,India,Tier 1
14500000,"algerian,belgian",Noida,Near Business Hub,2010-02-25,81.0,Tier A Celebrity,77.8,0,1,1,0,0,2.0,Bar,Greek,2,0,9,5,5,3,7,7.0,,4.0,5,5,2,5,15.436002737850787,noida,India,Tier 1
15000000,"chinese,salvadorian",Bhiwadi,Near Party Hub,2011-01-05,60.66,Not Specific,62.4,1,1,1,1,1,2.0,Bar,Nature,2,0,5,3,4,4,7,10.0,3.0,2.0,1,0,4,0,14.576317590691307,bhiwadi,India,Tier 3
60000000,"indian,irish",Gurgaon,Near Party Hub,2005-05-24,,Tier A Celebrity,83.0,0,1,1,1,0,1.0,Bar,90's,3,1,7,4,5,6,8,9.0,8.0,8.0,7,6,5,7,20.194387405886378,gurgaon,India,Tier 1
31000000,"tibetan,greek",Mysore,Near Party Hub,2009-11-27,89.37,Not Specific,79.0,1,1,1,1,1,2.0,Bar,Greek,3,0,1,6,5,5,10,7.0,,8.0,9,4,1,9,15.682409308692677,mysore,India,Tier 2
45500000,"tibetan,greek",Bangalore,Near Party Hub,2008-08-24,90.0,Not Specific,94.4,1,1,1,0,1,2.0,Bar,Greek,3,0,2,5,5,5,7,6.0,6.0,6.0,6,5,1,6,16.941820670773442,bangalore,India,Tier 1
40000000,"swedish,greek",Bangalore,Near Business Hub,2010-07-31,81.0,Tier A Celebrity,79.0,0,1,1,1,1,2.0,Bar,Greek,3,0,10,5,5,5,6,8.0,4.0,3.0,0,0,5,3,15.008898015058179,bangalore,India,Tier 1
15000000,"turkish,sapnish",Chennai,Near Business Hub,2008-03-13,78.0,Not Specific,86.67,1,1,1,1,1,2.0,Bar,English,3,1,10,5,4,5,5,9.0,4.0,5.0,9,5,3,6,17.39082819986311,chennai,India,Tier 1
25000000,"welsh,thai",Mangalore,Near Party Hub,2012-01-11,84.4,Tier A Celebrity,73.2,1,1,1,0,1,2.0,Bar,Arabian,3,0,9,5,4,5,10,10.0,4.0,6.0,8,5,2,6,13.560574948665298,mangalore,India,Tier 2
32000000,"tibetan,greek",Chennai,Near Party Hub,2011-12-08,89.0,Not Specific,92.0,1,1,0,1,1,2.0,Bar,Chinese,3,1,8,6,6,6,5,9.0,3.0,4.0,4,2,7,2,13.653661875427789,chennai,India,Tier 1
25000000,"indian,irish",Rajkot,Near Party Hub,2009-11-28,86.0,Not Specific,64.0,1,1,1,1,1,2.0,Bar,90's,2,0,10,6,5,4,7,9.0,4.0,9.0,9,9,2,9,15.679671457905544,rajkot,India,Tier 2
20000000,"turkish,nigerian",Bangalore,Near Party Hub,2011-12-17,,Tier A Celebrity,75.0,0,1,0,1,1,2.0,Bar,Arabian,2,1,2,6,4,5,5,9.0,4.0,9.0,9,5,1,7,13.6290212183436,bangalore,India,Tier 1
24000000,"irish,belgian",Greater Noida,Near Party Hub,2011-07-02,75.0,Tier A Celebrity,64.0,0,1,0,1,1,2.0,Bar,Arabian,2,0,5,5,4,4,8,,,6.0,8,7,4,5,14.088980150581794,noida,India,Tier 1
12000000,"cuban,british",Indore,Near Business Hub,2010-08-05,,Not Specific,77.0,0,1,1,1,1,2.0,Bar,Arabian,3,0,4,3,5,2,5,6.0,4.0,7.0,7,5,4,6,14.99520876112252,indore,India,Tier 2
30000000,"japanese,thai",Bangalore,Near Party Hub,2011-08-30,70.6,Tier A Celebrity,78.67,1,1,1,0,1,2.0,Bar,Greek,3,1,7,5,4,5,6,6.0,2.0,8.0,7,2,2,5,13.927446954140999,bangalore,India,Tier 1
65000000,"tibetan,greek",Bangalore,Near Party Hub,2010-01-20,93.44,Not Specific,90.0,1,1,1,1,1,2.0,Bar,Arabian,4,0,8,5,4,6,6,9.0,5.0,6.0,8,4,3,7,15.534565366187543,bangalore,India,Tier 1
12000000,"swedish,greek",-1,Near Party Hub,2011-02-13,76.0,Not Specific,72.0,0,1,1,1,0,2.0,Bar,Arabian,2,0,7,5,3,3,10,6.0,2.0,6.0,6,5,4,6,14.469541409993155,unknown,Unknown,Other
32500000,"tibetan,greek",Mysore,Near Business Hub,2012-04-30,86.4,Tier A Celebrity,78.2,1,1,0,1,1,2.0,Bar,Greek,3,1,2,5,4,4,6,7.0,3.0,8.0,9,7,5,6,13.259411362080767,mysore,India,Tier 2
10000000,"welsh,thai",-1,Near Business Hub,2011-05-13,86.0,Not Specific,95.0,1,1,1,1,0,2.0,Bar,Greek,3,0,3,4,5,4,7,10.0,3.0,8.0,6,5,3,8,14.225872689938399,unknown,Unknown,Other
30000000,"swedish,greek",Bangalore,Near Party Hub,2011-09-22,84.83,Tier A Celebrity,82.4,1,1,1,1,0,2.0,Bar,Arabian,3,0,6,6,5,7,10,10.0,5.0,6.0,7,5,0,6,13.86447638603696,bangalore,India,Tier 1
28000000,"tibetan,greek",New Delhi,Near Party Hub,2009-06-30,72.3,Tier A Celebrity,60.2,0,1,0,1,1,2.0,Bar,Greek,2,1,2,5,4,4,8,10.0,,9.0,8,4,6,5,16.093086926762492,new delhi,India,Tier 1
21500000,"algerian,korean",New Delhi,Near Business Hub,2006-03-10,69.0,Tier A Celebrity,62.6,1,1,0,0,1,2.0,Bar,Chinese,3,0,5,3,4,4,10,10.0,1.0,6.0,7,4,4,8,19.40041067761807,new delhi,India,Tier 1
14500000,"peruvian,cuban",Jaipur,Near Party Hub,2012-11-18,80.0,Not Specific,70.0,1,1,1,1,0,2.0,Bar,Greek,1,1,5,4,4,3,7,,,7.0,6,6,7,7,12.706365503080082,jaipur,India,Tier 2
44500000,"british,japanese",Pune,Near Business Hub,2006-05-05,,Not Specific,71.33,0,1,1,0,0,2.0,Caffee,Arabian,2,1,3,3,5,5,5,10.0,4.0,2.0,6,2,5,5,19.247091033538673,pune,India,Tier 1
31500000,"polish,jewish",noida ,Near Party Hub,2012-08-13,86.16,Tier A Celebrity,70.08,1,1,1,0,1,2.0,Bar,Greek,2,0,3,4,5,5,8,7.0,2.0,8.0,9,8,0,7,12.971937029431896,noida,India,Tier 1
10000000,"welsh,thai",Kolkata,Near Business Hub,2006-11-08,75.0,Not Specific,78.0,1,1,1,1,1,2.0,Bar,Arabian,3,1,6,4,4,3,10,8.0,4.0,8.0,9,7,2,9,18.73511293634497,kolkata,India,Tier 1
20000000,"welsh,thai",Noida,Near Party Hub,2011-04-27,56.0,Tier A Celebrity,56.0,1,1,0,1,0,2.0,Caffee,Arabian,2,0,6,6,4,3,6,9.0,5.0,8.0,8,5,1,7,14.269678302532512,noida,India,Tier 1
22000000,"chinese,salvadorian",Hyderabad,Near Business Hub,2011-02-16,87.0,Tier A Celebrity,60.0,1,1,1,1,1,2.0,Bar,Arabian,3,0,3,6,6,4,7,9.0,4.0,8.0,9,7,3,9,14.461327857631758,hyderabad,India,Tier 1
37000000,"algerian,belgian",Kolkata,Near Party Hub,2009-12-27,79.25,Not Specific,80.0,1,1,0,1,1,2.0,Bar,90's,3,0,10,5,5,4,6,10.0,4.0,8.0,9,4,2,6,15.600273785078713,kolkata,India,Tier 1
14500000,"british,japanese",Pune,Near Party Hub,2010-05-26,88.66,Not Specific,84.33,1,1,0,1,1,2.0,Bar,Parsi,2,1,6,4,5,5,9,7.0,3.0,9.0,10,7,2,8,15.189596167008897,pune,India,Tier 1
27500000,"polish,jewish",Bangalore,Near Party Hub,2010-05-29,80.8,Not Specific,75.0,1,1,1,1,1,2.0,Bar,Greek,3,1,4,4,4,3,5,,4.0,9.0,5,4,0,6,15.181382614647502,bangalore,India,Tier 1
65000000,"polish,jewish",Hyderabad,Near Party Hub,2010-12-30,79.0,Not Specific,87.9,1,1,0,1,1,2.0,Bar,Arabian,2,1,7,3,4,3,5,7.0,3.0,7.0,8,6,2,8,14.5927446954141,hyderabad,India,Tier 1
32500000,"tibetan,greek",Gurgaon,Near Party Hub,2011-03-27,70.0,Tier A Celebrity,65.0,1,1,1,1,1,2.0,Bar,90's,2,0,5,4,4,5,6,,,7.0,7,3,1,5,14.354551676933607,gurgaon,India,Tier 1
27500000,"welsh,thai",Bangalore,Near Party Hub,2009-08-11,,Tier A Celebrity,68.5,1,1,1,1,1,2.0,Bar,Greek,2,0,7,6,5,3,10,7.0,4.0,9.0,9,6,2,6,15.978097193702943,bangalore,India,Tier 1
42500000,"tibetan,italian",HYDERABAD,Near Business Hub,2009-08-05,83.5,Not Specific,94.2,1,1,1,1,0,2.0,Bar,90's,4,0,6,5,4,4,6,10.0,4.0,8.0,9,4,5,8,15.994524298425736,hyderabad,India,Tier 1
45000000,"tibetan,greek",Bangalore,Near Party Hub,2007-03-21,65.0,Tier A Celebrity,66.0,1,1,0,1,1,2.0,Bar,90's,2,0,7,5,5,5,8,10.0,4.0,5.0,7,2,2,9,18.3709787816564,bangalore,India,Tier 1
30000000,"welsh,thai",Bangalore,Near Business Hub,2011-04-26,88.0,Not Specific,88.0,1,1,1,1,1,2.0,Bar,Arabian,3,0,9,7,6,6,8,10.0,4.0,8.0,9,8,4,7,14.272416153319645,bangalore,India,Tier 1
47000000,"peruvian,cuban",Jaipur,Near Party Hub,2007-10-06,,Tier A Celebrity,76.6,1,1,0,1,1,2.0,Bar,90's,3,1,5,6,4,4,6,10.0,4.0,,5,5,2,6,17.82614647501711,jaipur,India,Tier 2
12000000,"british,japanese",-1,Near Party Hub,2007-06-26,55.6,Not Specific,50.8,1,0,1,0,1,2.0,Caffee,Arabian,4,1,4,4,4,3,7,7.0,4.0,6.0,8,7,6,8,18.105407255304584,unknown,Unknown,Other
30000000,"tibetan,italian",Bangalore,Near Party Hub,2011-11-16,75.0,Not Specific,72.0,0,1,1,1,1,2.0,Bar,90's,4,0,4,4,4,4,5,9.0,5.0,8.0,9,7,0,6,13.713894592744696,bangalore,India,Tier 1
20500000,"chinese,salvadorian",Chennai,Near Party Hub,2008-02-29,84.6,Not Specific,66.5,1,1,1,1,1,2.0,Bar,Greek,2,1,8,3,2,3,5,6.0,1.0,6.0,7,4,4,5,17.426420260095824,chennai,India,Tier 1
31000000,"tibetan,greek",Pune,Near Party Hub,2008-11-21,79.0,Not Specific,76.4,1,1,1,1,0,2.0,Bar,Greek,2,0,1,6,5,5,10,,3.0,10.0,8,8,0,6,16.698151950718685,pune,India,Tier 1
30000000,"japanese,thai",-1,Near Business Hub,2010-03-01,62.0,Tier A Celebrity,61.0,1,1,1,1,1,2.0,Bar,Arabian,3,0,2,2,3,3,9,6.0,2.0,5.0,8,6,4,10,15.425051334702259,unknown,Unknown,Other
46000000,"turkish,nigerian",-1,Near Party Hub,2009-04-03,,Not Specific,61.0,1,1,1,1,1,2.0,Gastro Bar,Arabian,2,0,9,4,5,6,8,10.0,4.0,4.0,3,2,3,2,16.334017796030118,unknown,Unknown,Other
32000000,"british,japanese",-1,Near Party Hub,2012-08-08,86.0,Not Specific,92.0,0,1,1,1,1,2.0,Bar,Greek,3,0,5,3,5,5,9,8.0,4.0,8.0,7,4,2,6,12.985626283367557,unknown,Unknown,Other
34000000,"polish,jewish",Navi Mumbai,Near Business Hub,2012-08-09,85.8,Tier A Celebrity,65.8,1,1,0,1,1,2.0,Bar,90's,2,0,8,6,6,7,9,10.0,4.0,8.0,9,5,3,7,12.982888432580424,mumbai,India,Tier 1
12000000,"irish,belgian",Noida,Near Party Hub,2011-08-11,68.4,Not Specific,61.0,0,1,1,1,1,2.0,Bar,Arabian,2,1,2,4,3,3,6,7.0,4.0,3.0,4,4,5,3,13.979466119096509,noida,India,Tier 1
